"start","end","person","text"
386.6,402.4,"FORREST (V.O.)","Wir wohnten in der Nähe von der Straße Nummer 17, Ungefähr eine halbe Meile entfernt von der Stadt Greenbow, Alabama. Das ist in Greenbow County. Unsere Haus gehörte Mamas Familie seitdem der Opa vom Opa ihres Opas vor tausend Jahren oder so übers Meer gekommen war."
403.9,420.0,"FORREST (V.O.)","Es gab nur Mama und mich und wir hatten eine Menge leere Zimmer. Deswegen hatte Mama beschlossen diese Zimmer zu vermieten. Meistens an Leute die auf der Durchreise waren Leute, Aus Moville, Montgomery und solchen Städten. Auf die Weise haben wir Geld verdient. Mama war eine richtig schlaue Lady."
420.6,425.0,"MRS. GUMP","Denk immer an das, Was ich dir gesagt habe Forrest. Du bist nicht anders als die anderen."
427.8,434.2,"MRS. GUMP","Hast du gehört, Was ich gesagt habe Forrest? Du bist genau so wie alle anderen Menschen auch, Du bist nicht anders als die anderen."
434.6,441.4,"PRINCIPAL","Ihr Sohn ist... Anders, Misses Gump. Sein Intelligenzquotient beträgt 75."
441.7,445.0,"MRS. GUMP","Nunja, Kein Mensch ist wie der andere, Mr Hancock."
448.2,456.6,"FORREST (V.O.)","Sie wollte, Dass ich die beste Schulbildung bekomme, Deshalb ging sie mit mir zur Greenbow County Central School da lernte ich sogar den Schulleiter kennen und alle."
456.9,462.4,"PRINCIPAL","Ich möchte ihnen mal etwas zeigen, Misses Gump. Also das hier ist normal."
463.1,477.1,"PRINCIPAL","Und Forrest ist, Genau hier. Vorschrift für den Besuch eine staatlichen Schule ist ein Intelligenzquotient von mindestens 80 Misses Gump. Ihr Sohn muss auf eine Sonderschule gehen, Da wird ers auf jedenfall schaffen."
478.7,500.1,"MRS. GUMP","Was hat normal schon zu bedeuten? Er mag ja vielleicht ein bisschen langsam sein. Aber ich verlange, Dass mein Sohn Forrest die selben Chancen wie andere auch. Er soll nicht auf eine Sonderschule gehen nur um zu lernen, Wie man Flaschen sortiert. Es geht um 5 winzige Punkte unter dem Durchschnitt. Da wird sich doch eine Möglichkeit finden lassen."
501.7,507.4,"PRINCIPAL","Wir haben ein progressives Schulsystem. Wir möchten nicht, Dass jemand zurück bleibt."
508.5,512.0,"PRINCIPAL","Gibt's einen Mister Gump, Misses Gump?"
514.9,516.5,"MRS. GUMP","Er macht Ferien."
533.5,536.4,"PRINCIPAL","Deiner Mutter liegt wirklich ne Menge an deiner Einschulung Junge."
542.5,544.3,"PRINCIPAL","Du redest nicht viel, Was?"
555.9,564.2,"MRS. GUMP","Am Ende musste er es versuchen. Es sah so leicht aus, Aber... Oh wie ging es weiter. Zuerst kam..."
563.3,566.0,"FORREST","Mama, Was bedeutet das? Ferien?"
566.6,567.7,"MRS. GUMP","Ferien?"
567.9,569.3,"FORREST","Wo Daddy hin ist."
571.6,578.0,"MRS. GUMP","Wenn du in Ferien gehst, Gehst du irgendwo hin... Und kommst nie wieder zurück."
583.0,586.7,"FORREST (V.O.)","Na jedenfalls, So wies aussah standen Mama und ich allein da."
587.6,594.0,"FORREST (V.O.)","Aber das machte uns nicht. Unser Haus war nie leer. Es gab immer Leute, Die kamen und gingen."
593.9,594.7,"MRS. GUMP (V.O.)","Abendessen!"
594.9,597.4,"MRS. GUMP","Es gibt Abendessen! Forrest..."
595.3,598.7,"MAN WITH CANE","Meine Güte, Dass sieht aber lecker aus"
598.3,610.9,"FORREST (V.O.)","Manchmal hatte wir so viele Leute bei uns wohnen, Dass alle Zimmer mit Reisenden belegt waren. Überlegen sie mal, Dass waren Leute, Die lebten aus dem Koffer. Aus Reisekoffern, Hutkoffern, Musterkoffern"
598.5,600.4,"MRS. GUMP","Herrschaften kommen sie zum essen. Bevor die Fliegen alles..."
605.4,612.3,"MRS. GUMP","Fangen sie ruhig schon an, Guten Apptetit. Forrest? Forrest Gump komm runter es gibt Abendessen"
612.9,616.8,"MRS. GUMP","Forrest... Forrest..."
613.3,619.2,"FORREST (V.O.)","Einmal, Da wohnte ein junger Mann bei uns, Der hatte einen Gitarrenkoffer"
623.7,630.0,"ELVIS PRESLEY","Well you never caught a rabbit and you ain't no friend of mine."
632.7,636.5,"MRS. GUMP","Forrest! Ich hab dir doch gesagt, Du sollst den netten, Jungen Mann in Ruhe lassen."
635.7,640.3,"ELVIS PRESLEY","Oh, Nein, Ist schon ok Ma'am. Ich hab ihm grad nur ein paar Griffe auf der Gitarre gezeigt"
640.7,643.3,"MRS. GUMP","Naja aber, Abendessen ist fertig falls sie hungrig sind."
643.7,645.48,"ELVIS PRESLEY","Oh, Das hört sich gut an, Danke Ma'am"
647.3,651.9,"ELVIS PRESLEY","Ey man, Mach mir doch den verrückten Tanz von vorhin nochmal vor. Aber ein bisschen langsamer"
652.7,655.4,"ELVIS PRESLEY","You ain't nothing but a hound dog"
654.6,656.6,"FORREST (V.O.)","Ich mochte die Gitarre"
657.1,658.8,"FORREST (V.O.)","Sie klang gut."
657.7,657.701,"ELVIS PRESLEY",""
660.5,666.2,"FORREST (V.O.)","Dann fing ich an, Mich nach der Musik zu bewegen. Ich wackelte mit den Hüften"
661.7,661.701,"ELVIS PRESLEY",""
670.1,675.0,"FORREST (V.O.)","eines Abend kam ich mit Mama an Bensons Möbel und Haushaltsladen vorbei und jetzt stellen sie sich mal vor."
677.2,677.201,"ELVIS PRESLEY",""
685.8,685.801,"ELVIS PRESLEY",""
687.5,689.3,"MRS. GUMP","Das ist nichts für kleine Kinder."
692.7,702.4,"FORREST (V.O.)","Ein Paar Jahre später, Da hatte der gutaussehende junge Mann, Den sie alle den ""King"" Nannten, Naja wahrscheinlich hat er zuviele Songs gesungen und er starb an einem Herzanfall oder so."
694.6,694.601,"ELVIS PRESLEY",""
703.4,712.9,"FORREST","Muss ganz schön schwer sein, Ein King zu sein. Ist doch komisch, Dass man sich an manche Ding erinnert und an manche nicht."
713.1,715.4,"MRS. GUMP","Und du gibst dir wirklich Mühe nicht wahr Forrest?"
715.4,716.8,"FORREST","Ja mach ich Mama"
718.5,724.0,"FORREST (V.O.)","Ich kann mich noch an die Busfahrt am ersten Schultag erinnern, Ganz genau."
726.2,727.6,"BUS DRIVER","Kommst du oder kommst du nicht?"
727.8,731.3,"FORREST","Mama sagt, Ich darf nicht bei Fremden ins Auto einsteigen."
731.4,733.3,"BUS DRIVER","Das hier ist der Bus zur Schule."
736.4,738.4,"FORREST","Ich bin Forrest, Forrest Gump."
739.3,740.7,"BUS DRIVER","Ich bin Dorothy Harris."
741.0,743.3,"FORREST","Dann sind sie ja jetzt keine Fremde mehr."
755.5,756.9,"BOY #1","Hier sitzt schon einer."
759.8,760.4,"BOY #2","Hier auch."
768.7,770.1,"BOY #3","Hier kannst du auch nicht sitzen."
772.7,778.2,"FORREST (V.O.)","Komisch, Was man noch aus seiner Kinderzeit weiß. Weil, Ich kann mich nicht daran erinnern, Wie ich geboren wurde."
779.1,791.0,"FORREST (V.O.)","Ich, Ich weiß auch nicht mehr was ich zu meinem ersten Weihnachtsfest gekriegt habe und nichts von meinem aller ersten Picnic, Aber dafür weiß ich ganz genau, Wann ich zum ersten mal die süßeste Stimme"
791.0,792.9,"FORREST (V.O.)","auf der ganzen welt gehört habe."
792.8,794.9,"JENNY","Wenn du willst, Kannst du hier sitzen."
798.2,804.3,"FORREST (V.O.)","Ich hatte noch nie in meinem Leben etwas so schönes gesehen, Sie war wie ein Engel."
804.4,806.8,"JENNY","Was ist? Setzt du dich hin oder nicht?"
811.9,813.5,"JENNY","Was ist denn mit deinen Beinen?"
813.9,817.6,"FORREST","Ähm, Überhaupt nichts, Danke. Meine Beine sind ordentlich in Ordnung."
818.9,825.4,"FORREST (V.O.)","Ich saß also da im Bus und wir haben uns unterhalten die ganze Fahrt bis zur Schule"
819.7,821.6,"JENNY","Wieso hast du denn dann solche Schuhe an?"
822.3,829.7,"FORREST","Meine Mama sagt mein Rücken ist krumm, Wie ein Fragezeichen. Die Schuhe machen mich wieder kerzengerade, Das sind meine Zauberschuhe."
826.5,831.2,"FORREST (V.O.)","Abgesehen von Mama, Hat nie jemand mit mir geredet oder mich was gefragt."
831.9,833.9,"JENNY","Kann es sein, Dass du dumm bist oder sowas?"
833.9,837.2,"FORREST","Mama sagt, Dumm ist der, Der Dummes tut."
838.2,839.1,"JENNY","Ich bin Jenny."
840.2,842.1,"FORREST","Ich bin Forrest, Forrest Gump"
842.5,848.3,"FORREST (V.O.)","Von dem Tag an waren wir immer zusammen, Jenny und ich, Wir waren wie Pech und Schwefel"
850.4,852.2,"FORREST (V.O.)","Sie hat mir beigebracht, Wie man klettert."
852.2,854.9,"JENNY","Komm Forrest, Du kannst das auch."
854.9,856.8,"FORREST (V.O.)","Und ich hab ihr gezeigt, Wie man hangelt."
857.5,861.5,"FORREST","...ein gutes... Kleines... Äffchen..."
859.3,861.4,"FORREST (V.O.)","Sie hat mir beim Lesenlernen geholfen"
862.5,864.2,"FORREST (V.O.)","und ich hab ihr gezeigt, Wie man schaukelt."
866.3,870.1,"FORREST (V.O.)","Und manchmal saßen wir einfach nur so da und warteten auf die Sterne"
870.2,872.5,"FORREST","Mama macht sich bestimmt Sorgen um mich."
872.8,874.5,"JENNY","Bleib doch noch ein bisschen länger."
875.9,879.3,"FORREST (V.O.)","Aus irgendeinem Grund wollte Jenny nie nach Hause gehen."
879.7,881.9,"FORREST","Ok Jenny ich bleibe."
882.6,885.9,"FORREST (V.O.)","Sie war meine aller beste Freundin."
888.5,890.0,"FORREST","Meine einzige Freundin."
893.5,900.1,"FORREST","Meine Mama sagte immer Wunder passieren an jedem Tag. Es gibt Leute, Die glauben nicht daran, Aber es ist so."
902.6,903.0,"BOY #1","Hey Blödmann!"
905.1,907.0,"BOY #2","Bist du zurückgeblieben oder einfach nur blöd?"
907.1,908.9,"BOY #3","Nein, Ich bin Forrest Gump!"
908.9,910.7,"JENNY","Hör garnicht auf das, Was sie sagen."
911.7,912.6,"JENNY","Lauf Forrest."
912.9,914.0,"JENNY","Lauf Forrest! Lauf!"
914.8,915.7,"BOY #2","Auf die Räder!"
915.9,916.6,"BOY #3","Macht schnell!"
916.6,918.7,"BOY #3","Los gehts!"
918.6,919.8,"BOY #2","Wir kriegen ihn schon!"
920.6,922.0,"BOY #2","Den greifen wir uns!"
923.2,925.2,"JENNY","Lauf Forrest, Lauf!"
925.2,926.9,"JENNY","Lauf Forrest!"
928.6,929.9,"BOY #1","Wir kriegen dich schon!"
943.3,946.8,"JENNY","Lauf Forrest! Lauf!"
977.0,979.7,"FORREST (V.O.)","Sie werden mir das wahrscheinlich nicht glauben, Wenn ich ihnen das erzähle"
980.9,983.1,"FORREST","aber ich kann laufen, So schnell wie der Wind."
986.4,992.0,"FORREST","Von dem Tag an bin ich nirgendwo mehr hingegangen, Ich bin gelaufen!"
991.3,993.0,"BOY #2","Er haut ab!"
999.4,1000.0,"BOY #2","So ein Mist!"
1024.0,1026.8,"MAN","Sieh mal an, Jetzt läuft er auch noch wie'n Verrückter."
1030.8,1044.099,"FORREST (V.O.)","Vorhin hab ich ihnen doch erzählt, Dass Jenny nie nach Hause wollte. Sie wohnte in einem Haus, Das war ungefähr so alt wie Alabama. Ihre Mama war in den Himmel gekommen, Als Jenny 5 war und ihr Daddy war sowas, Wie ein Farmer"
1045.5,1046.599,"FORREST","Jenny?"
1046.3,1058.9,"FORREST (V.O.)","Er war ein sehr liebevoller Mann. Dauernd hat er sie und ihre Schwestern gestreichelt und geküsst. An diesem einen Tag war Jenny nicht im Schulbus gewesen."
1049.5,1050.3,"FORREST","Jenny?"
1060.0,1062.3,"FORREST","Jenny warum bist du heute nicht in der Schule gewesen?1"
1062.0,1064.5,"JENNY","Pssst. Daddy ist gerade eingeschalfen."
1064.9,1065.6,"JENNY'S DAD","Jenny!"
1065.9,1066.7,"JENNY","Komm schnell!"
1068.0,1073.6,"JENNY'S DAD","Jenny! Wo rennst du denn hin? Mach, Dass du ins Haus kommst, Mädchen."
1075.7,1076.4,"JENNY'S DAD","Wo bist du?"
1080.5,1087.2,"JENNY'S DAD","Jenny! Jenny! Wo bist du? Jenny!"
1087.9,1090.4,"JENNY","Bete mit mir Forrest, Bete mit mir."
1090.9,1091.6,"JENNY'S DAD","Jenny!"
1091.9,1101.7,"JENNY","Lieber Gott, Mach, Dass ich ein Vogel werde, Damit ich von hier wegfliegen kann, Weit weit weg. Lieber Gott mach, Dass ich ein Vogel werde, Damit ich weit weit weg fliegen kann."
1101.7,1105.4,"FORREST (V.O.)","Mama hat immer sagt, Gottes Wege sind rätselhaft"
1105.0,1109.8,"JENNY'S DAD","Jenny! Komm sofort zurück!"
1105.9,1109.6,"FORREST (V.O.)","Er hat an dem Tag keinen Vogel aus Jenny gemacht."
1111.5,1124.1,"FORREST (V.O.)","aber dafür, Hat er dafür gesorgt, Dass die Polizei gesagt hat, Jenny braucht nie mehr in das Haus zurück zu gehen. Von da an wohnte sie bei ihrere Großmutter gleich drüben, An der Creekmore Avenue. Das hat mich sehr glücklich gemacht, Denn es war so nah."
1125.4,1135.3,"FORREST (V.O.)","Machmal, Schlich Jenny sich nachts heimlich davon und kam rüber zu mir, Dass war weil sie Angst hatte, Sagte sie. Wovor sie Angst hatte, Das weiß ich nicht."
1135.9,1144.3,"FORREST (V.O.)","Ich glaube, Es war der Hund von ihrer Großmutter. Es war ein sehr böser Hund. Na egal, Jenny und ich wir waren die besten Freunde und das blieb auch so..."
1144.3,1146.2,"FORREST (V.O.)","...bis zur Highschool."
1147.4,1148.6,"OLDER BOY #1","Hey Blödmann"
1148.7,1149.4,"JENNY","Verzieh dich!"
1150.5,1151.9,"JENNY","Lauf Forrest, Lauf!"
1152.0,1154.8,"OLDER BOY #1","Hey Blödmann! Hast du nicht gehört Blödmann?"
1154.7,1155.8,"JENNY","Lauf Forrest!"
1158.0,1159.5,"OLDER BOY #2","Bleib stehen du Trottel!"
1160.7,1163.1,"JENNY","Lauf Forrest! Lauf!"
1162.8,1166.4,"OLDER BOY #1","Du glaubst du bist schneller als wir, Na los dann zeigs uns!"
1168.2,1171.2,"OLDER BOY #1","Lauf! Lauf! Mach schon!"
1169.2,1169.7,"OLDER BOY #2","Nun Lauf!"
1169.7,1173.4,"OLDER BOY #1","Aber so schnell bist du nicht, Dass wir dich nicht kriegen!"
1171.2,1171.201,"BOY",""
1174.7,1175.7,"OLDER BOY #1","Na lauf du Blödmann!"
1188.2,1188.201,"OLDER BOY #1",""
1190.0,1191.5,"JENNY","Lauf Forrest!"
1194.3,1201.4,"FORREST","Es wurde ganz normal, Da wo ich hinwollte, Bin ich hingelaufen. Ich hätte nie gedacht, Dass mir das mal was bringt."
1203.5,1207.9,"OLDER BOY","Hahahahaha whoohooo"
1229.6,1231.3,"FOOTBALL COACH","Großer Gott wer ist das?"
1231.4,1235.7,"HIGH SCHOOL COACH","Das ist Forrest Gump Coach. Unser Dorftrottel."
1236.9,1240.2,"FORREST (V.O.)","Und ob sies glauben oder nicht. Ich bin dann auch noch aufs College gekommen."
1249.2,1249.6,"FOOTBALL PLAYER","Forrest! Lauf!"
1251.0,1253.7,"FOOTBALL COACH","Lauf doch, Du dämlicher Schwachkopf! Lauf!"
1265.5,1269.1,"FOOTBALL COACH","Mach schon du Schwachkopf, Los lauf!"
1270.7,1272.1,"FOOTBALL COACH","Halt, Halt! Da lang!"
1284.4,1289.6,"FOOTBALL COACH","Das ist wahrscheinlich der blödeste Kerl, Den die Welt je gesehen hat, Aber dafür ist er auch der Schnellste!"
1321.6,1322.3,"JENNY","Auh! Das tut weh!"
1334.3,1339.5,"JENNY","Forrest! Forrest! Forrest hör auf!"
1339.6,1342.7,"BILLY","Was ist denn hier los?"
1341.2,1342.8,"JENNY","Was machst du denn da?"
1342.2,1344.6,"FORREST","Aber er hat dir weh getan!"
1342.7,1344.4,"BILLY","Scheisse, Was ist denn hier los?"
1344.2,1345.1,"JENNY","Nein hat er nicht!"
1344.5,1346.6,"BILLY","Wer ist das? Wer ist das?"
1345.5,1346.3,"JENNY","Geh da rüber!"
1347.8,1348.9,"JENNY","Billy es tut mir leid!"
1347.8,1349.6,"BILLY","Fass mich nicht an!"
1350.0,1351.6,"JENNY","Nicht! Warte doch"
1350.3,1351.8,"BILLY","Du sollst mich nicht anfassen."
1351.5,1354.0,"JENNY","Billy warte doch!"
1354.2,1355.8,"JENNY","Er weiß es doch nicht besser!"
1358.2,1361.0,"JENNY","Forrest! Warum hast du das gemacht?"
1363.6,1372.5,"FORREST","Ich hab Pralinen für dich. Es tut mir so Leid. Ich geh jetzt wieder in mein College."
1372.7,1373.9,"JENNY","Forrest..."
1377.2,1378.5,"JENNY","...sieh dich doch an..."
1380.6,1382.9,"JENNY","Komm mit, Komm."
1390.0,1391.2,"FORREST","Ist das dein Zimmer?"
1390.5,1391.1,"JENNY","Shh!"
1396.0,1400.7,"JENNY","Träumst du manchmal davon, Wer du einmal sein wirst?"
1402.3,1403.5,"FORREST","Wer ich mal sein werde?"
1403.6,1404.4,"JENNY","Ja."
1403.9,1405.8,"FORREST","Werd' Ich später nicht mehr ich sein?"
1405.7,1413.7,"JENNY","Natürlich wirst du immer du sein, Trotzdem wirst du ein anderer sein. Weißt du was? Ich möchte mal berühmt werden."
1415.1,1427.1,"JENNY","Ich möchte Sängerin werden wie Joan Baez. Ich möchte auf einer leeren Bühne stehen nur meine Gitarre, Meine Stimme.... Nicht mehr."
1428.7,1437.3,"JENNY","Ich möchte in den Menschen etwas bewegen. Ich möchte Inhalte vermitteln von Mensch zu Mensch."
1445.0,1446.9,"JENNY","Bist du schonmal mit einem Mädchen zusammen gewesen?"
1449.0,1452.5,"FORREST","Im Kurs für Hauswirtschaftslehre sind Mädchen und ich sitze daneben."
1450.8,1450.801,"DJ",""
1457.5,1457.501,"DJ",""
1477.5,1482.9,"FORREST","Oh, Oh... Das tut mir Leid, Entschuldige"
1481.2,1482.2,"JENNY","Das macht doch nichts."
1489.1,1489.101,"DJ",""
1491.1,1492.1,"JENNY","Ist ja gut"
1491.5,1491.501,"DJ",""
1495.4,1496.2,"JENNY","Ist ja gut"
1496.5,1497.9,"FORREST","Ohh ist mir schwindelig"
1505.8,1508.1,"JENNY","Im Hauswirtschaftskurs ist dir das nie passiert he?"
1513.1,1514.0,"FORREST","Nein."
1520.1,1523.6,"FORREST","Ich hab den Bademantel von deiner Freundin schmutzig gemacht."
1523.3,1525.3,"JENNY","Ist egal, Ich kann sie sowieso nicht leiden"
1525.3,1528.0,"CROWD","LAUF! LAUF! LAUF! LAUF!"
1533.3,1533.301,"CROWD",""
1540.5,1544.7,"FORREST (V.O.)","Die Zeit auf dem College ging richtig schnell vorbei. Ich spielte nämlich unheimlich viel Football"
1544.7,1551.3,"FORREST (V.O.)","Die haben mich dann sogar in das All-American Team gesteckt, Wenn man da drin ist, Kann man den Presidenten der vereinigten Staaten kennenlernen."
1551.4,1555.7,"ANNOUNCER","Präsident Kennedy empfing heute im weißen Haus das All-American Football Team"
1557.2,1562.1,"FORREST (V.O.)","Das was richtig gut darin ist, Wenn man den Präsidenten der Vereinigten Staaten kennenlernt ist das essen."
1562.9,1571.9,"FORREST (V.O.)","Die stecken einen in einen kleinen Raum und da gibt es fast alles zu Essen und zu Trinken, Was man sich wünscht. Un weil ich ersten keinen Hunger hatte sondern nur Durst..."
1571.9,1577.3,"FORREST (V.O.)","und zweitens alles umsonst war habe ich so ungefähr 15 Doktor Peppers Cola getrunken"
1580.2,1582.6,"PRESIDENT KENNEDY","Ich gratuliere, Was ist das ür ein Gefühl ein All-American zu sein?"
1582.5,1583.4,"1ST PLAYER","Es ist mir eine Ehre, Sir."
1584.0,1586.4,"PRESIDENT KENNEDY","Ich gratuliere, Was ist das ür ein Gefühl ein All-American zu sein?"
1586.0,1587.4,"2ND PLAYER","Eine Ehre, Sir"
1588.6,1591.4,"PRESIDENT KENNEDY","Ich gratuliere, Was ist das ür ein Gefühl ein All-American zu sein?"
1590.9,1592.4,"3RD PLAYER","Ein sehr gutes Gefühl, Sir"
1592.8,1594.7,"PRESIDENT KENNEDY","Ich gratuliere, Wie fühlen sie sich denn?"
1595.0,1596.0,"FORREST","Ich... Äh... Muss mal pinkeln."
1597.0,1598.7,"PRESIDENT KENNEDY","Ich glaube er hat gesagt er muss pinkeln."
1613.8,1621.1,"FORREST (V.O.)","Nicht lange danach hat jemand, Ohne irgendeinen Grund, Den netten jungen Präsidenten erschossen, Als er mit seinem Auto unterwegs war."
1621.9,1624.0,"FORREST","Und ein paar Jahre danach..."
1624.0,1628.1,"FORREST (V.O.)","...hat jemand auch seinen kleinen Bruder erschossen. Das war allerdings in einer Hotelküche."
1629.3,1633.9,"FORREST","Muss schwer sein, Wenn man Brüder hat. Ich weiß nichts davon."
1634.3,1635.8,"DEAN","Forrest Gump"
1635.8,1641.8,"FORREST (V.O.)","Wer hätte das gedacht? Da hab ich nur 5 Jahre Football gespielt und kriege einen College Abschluss"
1640.8,1642.7,"DEAN","Ich gratuliere ihnen, Mein Sohn."
1643.6,1645.4,"FORREST (V.O.)","Mama war so stolz."
1646.3,1650.5,"MRS. GUMP","Forrest, Ich bin so stolz auf dich. Na komm, Gib mir das bitte, Ja?"
1650.6,1654.8,"MILITARY RECRUITER","Ich gratuliere ihnen mein Sohn. Haben sie schon über ihre Zukunft nachgedacht?"
1657.4,1658.3,"FORREST","Gedanken?"
1659.9,1661.1,"FORREST (V.O.)","Hallo ich bin Forrest!"
1661.1,1661.9,"FORREST","Forrest Gump!"
1661.9,1670.6,"ARMY BUS DRIVER","Soll ich dir was sagen? Das ist mir scheissegal du blöder Wichser. Du bist das letzte mit dir kann man nichtmal die Scheisse aufwischen! Schieb deinen schwulen Arsch in den Bus du bist jetzt in der Army!"
1671.5,1672.8,"RECRUIT #1","Hier sitzt schon einer."
1675.3,1676.0,"RECRUIT #2","Hier auch."
1679.2,1682.0,"FORREST (V.O.)","Ich hab zuerst gedacht ich hab einen Fehler gemacht."
1682.0,1685.6,"FORREST (V.O.)","Es war doch der Tag meiner Einberufung und schon wurd ich angebrüllt"
1689.5,1691.05,"BUBBA","Setz dich, Wenn du willst."
1691.9,1695.7,"FORREST (V.O.)","Ich hatte ja keine Ahnung, Wen ich so kennen lerne und was die mich so fragen."
1695.7,1697.8,"BUBBA","Warst du schonmal auf nem richtigen Shrimpkutter?"
1698.8,1701.9,"FORREST","Nein, Aber ich hab mal ne Dampferfahrt gemacht."
1702.8,1720.9,"BUBBA","Ich meine ein Boot mit dem man Shrimps fischen geht. Ich hab schon immer aufm Shrimpkutter gearbeitet. Erst auf aufm Boot von meinem Onkel, Das ist der Bruder von meiner Mutter. Da war ich ungefähr neun. Und jetzt hat ich vor, Mir selbst ein Boot zu kaufen, Da haben sie mich eingezogen. Getauft bin ich auf Benjamin Buford Blue."
1721.1,1726.6,"BUBBA","Aber alle nennen mich Bubba, So wie die weißen Arbeiter sich begrüßen. Wie findest du das?"
1726.8,1730.3,"FORREST","Meine Name ist Forrest Gump. Mich nennen alle Forrest Gump"
1731.1,1735.5,"FORREST (V.O.)","Also Bubba kam aus Bayou La Batre, Alabama und seine Mama kochte Shrimps."
1737.3,1739.6,"FORREST (V.O.)","Und die Mama von der Mama kochte Shrimps."
1740.2,1744.7,"FORREST (V.O.)","Und die Mama von der Mama von der Mama kochte Shrimps. Bubbas Familie wusste alles"
1744.7,1747.0,"FORREST (V.O.)","was man übers Shrimpgeschäft wissen muss."
1747.2,1755.0,"BUBBA","Ich weiß alles, Was man übers Shrimpgeschäft wissen muss. Weißt du was? Eines Tages werde ich meine eigenen Shrimps fangen, Wenn das alles hier vorbei ist."
1758.4,1759.2,"FORREST","Okay."
1759.2,1763.2,"DRILL SERGEANT","GUMP! Wozu sind sie einzig und allein in der Army?"
1763.2,1765.7,"FORREST","Um das zu tun, Was sie mir sagen Drill Seargent!"
1765.8,1776.5,"DRILL SERGEANT","Gottverdammt Gump! Sie sind ein verfluchtes Genie. Das war eine hochintelligente Antwort. Sie haben wohl einen Intelligenzquotienten von 160. Sie sind eine außergewöhnliche Begabung Private Gump."
1778.0,1779.5,"DRILL SERGEANT","Alle mal herhören, Männer...."
1779.9,1788.8,"FORREST (V.O.)","Es gibt keinen besonderen Grund, Aber ich hab in die Army gepasst, Wie der Deckel auf den Topf, Es ist garnicht schwer. Man muss sein Bett richtig machen und immer dran denken, Schön stramm zu stehen."
1780.0,1783.7,"DRILL SERGEANT","Haltet euch an diesen Mann, Dann werdet ihr es weit bringen."
1788.8,1792.9,"FORREST (V.O.)","Und jedes mal antworten: ""Zu Befehl Drillsergeant!"
1793.0,1794.0,"DRILL SERGEANT","ist das klar?"
1794.1,1796.3,"FORREST & RECRUITS","Zu Befehl, Drill Sergeant."
1796.8,1810.4,"BUBBA","Du musst nichts tun, Nur die Netze übern Meeresgrund ziehen. An nem guten Tag, Kannst du über 100 Pfund Shrimps fangen. Wenn alles hinhaut, Verdienen zwei man, Die zehn Stunden Fischen abzüglich das was du für den Sprit brauchst, So ungefähr..."
1809.7,1810.9,"FORREST","Fertig, Drill Sergeant!"
