onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
96.640	1.920	ERZAEHLER	1	speech	regular	HS	Ein Mann bleibt kurz am Bordstein stehen.	
99.000	1.840	ERZAEHLER	1	speech	regular	HS	Die Feder landet sanft auf seiner Schulter.	
105.640	1.440	ERZAEHLER	1	speech	regular	HS	Der Mann überquert die Fahrbahn.	
107.680	2.960	ERZAEHLER	1	speech	regular	HS	Die Feder schwebt weiter über die Windschutzscheibe eines Chevrolets.	
111.280	5.400	ERZAEHLER	1	speech	regular	AND;relativ	Sie sinkt bis dicht über den Asphalt und fliegt unter einem Wagen hindurch, der an einer Bushaltestelle vorbeifährt.	
117.480	3.760	ERZAEHLER	1	speech	regular	AND	Die Feder wird wieder hochgewirbelt und trudelt zu einem Mann auf einer Wartebank.	
122.080	2.720	ERZAEHLER	1	speech	regular	HS	Sie landet an einem seiner abgewetzten Nike-Laufschuhe.	
126.200	2.080	ERZAEHLER	1	speech	regular	AND	Der Mann hebt sie auf und betrachtet sie.	
129.240	4.200	ERZAEHLER	1	speech	regular	AND	Er ist etwa vierzig, schlank und braungebrannt und hat kleine dunkle Augen.	
134.120	3.680	ERZAEHLER	1	speech	regular	HS	Sein kurzes dunkles Haar mit Geheimratsecken ist über den Ohren ausrasiert.	
138.440	2.640	ERZAEHLER	1	speech	regular	HS	Er trägt einen hellen Anzug und ein blau kariertes Hemd.	
141.840	3.720	ERZAEHLER	1	speech	regular	AND	Der Mann nimmt eine Pralinenschachtel von einem kleinen Koffer und öffnet ihn.	
147.040	4.200	ERZAEHLER	1	speech	regular	HS	Zwischen den akkurat gepackten Sachen liegen auch ein rotes Käppi und ein Tischtennisschläger.	
151.920	3.480	ERZAEHLER	1	speech	regular	HS	Aus dem Kofferdeckel zieht der Mann das Kinderbuch 'Curious George'.	
157.000	3.080	ERZAEHLER	1	speech	regular	AND	Er legt die Feder hinein, schließt den Koffer und stellt ihn neben sich.	
161.960	2.280	ERZAEHLER	1	speech	regular	HS	Der Mann schaut mit ernstem Gesicht in Leere.	
166.040	1.000	ERZAEHLER	1	speech	regular	HS	Ein Linienbus hält.	
171.560	3.560	ERZAEHLER	1	speech	regular;addendum	none	Darauf eine Werbung für ein neues Automodell von 1981.	
178.680	1.720	ERZAEHLER	1	speech	regular	HS	Der Mann öffnet die Pralinenschachtel.	
180.800	3.320	ERZAEHLER	1	speech	regular	HS	Eine schwarze Frau in Schwesterntracht setzt sich zu ihm auf die Bank.	
184.760	1.720	ERZAEHLER	1	speech	regular	HS	Schnell macht der Mann die Schachtel wieder zu.	
187.040	1.920	ERZAEHLER	1	speech	regular	HS	Die Krankenschwester blickt in eine Zeitschrift.	
189.920	0.320	FORREST	1	speech	regular	address	Hallo	
191.800	2.120	FORREST	1	speech	regular	HS	Mein Name ist Forrest, Forrest Gump.	
194.440	2.320	ERZAEHLER	1	speech	regular	AND	Die Schwester sieht kurz hoch, nickt und liest weiter. 	
197.160	2.320	ERZAEHLER	1	speech	regular	HS	Forrest hält ihr die geöffnete Pralinenschachtel hin.	
199.880	1.120	FORREST	1	speech	regular	question	Möchten Sie eine Praline?	
202.080	0.880	ERZAEHLER	1	speech	regular	HS	Sie schüttelt den Kopf.	
204.320	2.640	FORREST	1	speech	regular	HS;ACI	Ich glaub, ich könnte sie pfundweise essen.	
208.800	1.760	FORREST	1	speech	regular	HS	Meine Mama hat immer gesagt:	
210.840	2.920	FORREST	1	speech	regular	HS	Das Leben ist wie eine Schachtel Pralinen.	direkte Rede
214.200	1.200	ERZAEHLER	1	speech	regular	HS	Er steckt sich eine in den Mund.	
215.800	1.520	FORREST	1	speech	regular	HS;ACI	Man weiß nie, was man kriegt.	direkte Rede
218.080	1.160	ERZAEHLER	1	speech	regular	HS	Die Schwester reagiert nicht.	
221.160	2.280	ERZAEHLER	1	speech	regular	HS	Forrest zeigt auf ihre strahlend weißen Halbschuhe.	
224.120	0.320	FORREST	1	non	regular	none	mhm	
225.240	1.800	FORREST	1	speech	regular	HS	Das müssen ja bequeme Schuhe sein.	
227.640	0.120	FORREST	1	non	regular	none	mhm	
229.000	3.760	FORREST	1	speech	regular	HS;NS	Ich wette, in den Schuhen kann man den ganzen Tag rumlaufen und spürt gar nichts.	
233.240	0.160	FORREST	1	non	regular	none	hm	
235.760	1.760	FORREST	1	speech	regular	HS;NS	Ich wünschte, ich hätte solche Schuhe.	
238.720	0.960	BLACK WOMAN	1	speech	regular	HS	Meine Füße tun weh.	
241.120	0.080	FORREST	1	non	regular	none	tzm	
241.320	1.040	FORREST	1	speech	regular	HS	Mama sagte immer:	
242.440	2.720	FORREST	1	speech	regular	HS	Schuhe können dir über einen Menschen ganz schön viel erzählen.	direkte Rede
247.000	0.920	FORREST	1	speech	regular	NS	Wohin sie gehen…	direkte Rede
248.600	1.200	FORREST	1	speech	regular	NS	Wo sie gewesen sind.	direkte Rede
251.760	2.800	ERZAEHLER	1	speech	regular	HS	Interessiert sieht die Schwester von ihrem People-Magazine zu ihm.	
256.920	2.280	FORREST	1	speech	regular	HS	Ich hab schon sehr viele Schuhe angehabt.	
261.760	4.000	FORREST	1	speech	regular	NS;HS	Wenn ich mich richtig anstrenge, kann ich mich bestimmt an mein erstes Paar Schuhe erinnern.	
266.560	1.560	ERZAEHLER	1	speech	regular	HS	Er kneift die Augen fest zu.	
269.240	2.560	FORREST	1	speech	regular	HS;NS	Mama hat gesagt, ich kann damit überall hingehen.	indirekte Rede
272.280	2.880	FORREST (V.O.)	1	speech	regular	HS;NS	Sie hat gesagt, es sind meine Zauberschuhe.	indirekte Rede
275.160	0.880	DOCTOR	1	speech	regular	address	Ok, Forrest	
276.160	0.520	ERZAEHLER	1	speech	regular	none	Ein Arzt	
276.800	1.320	DOCTOR	1	speech	regular	HS	Kannst deine Augen wieder aufmachen.	
278.360	4.520	ERZAEHLER	1	speech	regular	AND;relativ	Der etwa 10-jährige sitzt auf einer Liege und starrt auf seine Beine, an die Metallschienen geschnallt sind.	
283.360	1.280	ERZAEHLER	1	speech	regular	HS	Der dicke Arzt hebt ihn runter.	
285.920	1.600	DOCTOR	1	speech	regular	HS	So und jetzt gehen wir mal ein bisschen.	
288.640	4.080	ERZAEHLER	1	speech	regular	HS;relativ	Mit steifen Knien stakst der Junge an einer Dunkelhaarigen vorbei, die auf einem Stuhl sitzt.	
294.080	0.960	DOCTOR	1	speech	regular	question	Wie fühlen sie sich an?	
295.760	2.240	ERZAEHLER	1	speech	regular	HS	Der Arzt hat eine brennende Zigarette im Mundwinkel.	
298.560	1.240	DOCTOR	1	speech	regular	HS	Er hat kräftige Beine.	
299.840	0.560	DOCTOR	1	speech	regular	address	Misses Gump	
300.880	2.280	DOCTOR	1	speech	regular;addendum	NS	Genau so kräftige wie alle anderen Kinder.	
303.840	2.800	DOCTOR	1	speech	regular;addendum	NS	Aber dafür hat er ein Rückrat wie ein Politiker.	
306.960	0.200	MRS. GUMP	1	non	regular	none	huuuh	
307.320	2.160	DOCTOR	1	speech	regular	HS	Wir werden schon einen aufrechten Kerl aus ihm machen.	
309.600	0.600	DOCTOR	1	speech	asking	address	Was, Forrest?	
310.760	1.360	ERZAEHLER	1	speech	regular	HS	Der kippt um.	
311.120	0.640	MRS. GUMP	1	speech	exclamation	address	Forrest	
312.640	6.520	FORREST (V.O.)	1	speech	regular	NS;HS	Als ich ein Baby war, hat Mama mich nach dem berühmten Helden aus dem Bürgerkrieg General Nathan Bedford Forrest genannt.	
319.320	26.600	OST	0	song	instrumental	instrumental		#Ende#
319.800	1.840	FORREST (V.O.)	1	speech	regular	HS;NS	Sie sagt, wir sind irgendwie verwandt.	indirekte Rede
321.600	2.320	ERZAEHLER	1	speech	regular	none;relativ	Ein alter Film vom General, der aussieht wie Forrest.	
322.160	1.280	FORREST (V.O.)	1	speech	asking	question	Und was hat der gemacht?	#imovie#
323.840	1.720	FORREST (V.O.)	1	speech	regular	HS	Er hat einen Verein gegründet.	
325.840	1.560	FORREST (V.O.)	1	speech	regular	HS	Der heißt Ku-Klux-Klan.	
327.960	5.760	FORREST (V.O.)	1	speech	regular	AND	Da verkleiden sich alle mit langen Kleidern, mit Betttüchern und tun so als wären sie Geister oder Gespenster, oder so.	
334.640	3.400	FORREST (V.O.)	1	speech	regular	AND	Die decken sogar Betttücher über ihre Pferde und reiten dann damit rum.	
338.840	0.800	FORREST (V.O.)	1	speech	regular	none	Na,jedenfalls…	
340.200	2.200	FORREST (V.O.)	1	speech	regular	HS	So hab ich meinen Namen gekriegt: Forrest Gump.	
343.200	0.920	FORREST (V.O.)	1	speech	regular	HS	Mama hat gesagt:	
344.240	4.320	FORREST (V.O.)	1	speech	regular	###	Der Name Forrest soll mich immer daran erinnern, dass wir manchmal Sachen tun,...	
347.600	26.640	HANK WILLIAMS	0	song	regular	foreign	“Lovesick Blues”	#schiebt sich zw. “...”#
349.080	1.160	FORREST (V.O.)	1	speech	regular	relativ	...die nicht viel Sinn ergeben.	
350.640	0.720	ERZAEHLER	1	speech	regular	none	Auf einer Straße	
351.600	3.840	ERZAEHLER	1	speech	regular	HS	An der Hand seiner Mutter bleibt der kleine Forrest mit einer Schiene in einem Gully-Gitter stecken.	
355.600	0.800	MRS. GUMP	0	speech	regular	HS	Ich krieg das da raus.	#timing#
356.640	0.360	MRS. GUMP	0	speech	commanding	imperative	Lass mich!	
357.000	0.920	MRS. GUMP	0	speech	regular	HS	Ich mach das.	
359.040	0.840	MRS. GUMP	0	speech	regular	HS	...geht doch da raus.	
360.040	1.680	MRS. GUMP	0	speech	commanding	imperative	noch anders, warte, warte!	
362.520	0.280	MRS. GUMP	1	non	regular	none	hum	
363.640	1.720	ERZAEHLER	1	speech	regular	none	Zu zwei Männer vor einem Friseurladen	
365.840	0.920	MRS. GUMP	1	speech	asking	question	Was guckt ihr denn so?	#movie#
367.680	2.520	MRS. GUMP	1	speech	asking	question	Habt ihr etwa noch nie nen Jungen mit Schienen an den Beinen gesehen?	
373.080	3.080	MRS. GUMP	1	speech	regular	imperative;NS;address	Lass dir nur ja von niemandem einreden, er wäre was besseres als du, Forrest!	
376.920	2.280	MRS. GUMP	1	speech	regular	###	Wenn Gott gewollt hätte, dass alle Menschen gleich wären,...	
379.680	1.880	MRS. GUMP	1	speech	regular;addendum	###	...dann würden wir heute alle Beinschienen tragen.	
381.600	3.920	FORREST (V.O.)	1	speech	regular	HS;NS	Mama konnte immer alle Sachen so erklären, dass ich sie verstehen konnte.	
385.720	47.120	OST	0	song	instrumental	instrumental		
386.280	2.880	FORREST (V.O.)	1	speech	regular	HS	Wir wohnten in der Nähe von der Straße Nummer 17.	
389.640	3.360	FORREST (V.O.)	1	speech	regular;addendum	none	Ungefähr eine halbe Meile entfernt von der Stadt Greenbow, Alabama.	
393.240	1.320	FORREST (V.O.)	1	speech	regular;addendum	HS	Das ist in Greenbow County.	
395.840	6.520	FORREST (V.O.)	1	speech	regular	HS;NS	Unser Haus gehörte Mamas Familie, seitdem der Opa vom Opa ihres Opas vor tausend Jahren oder so übers Meer gekommen war.	
402.840	3.440	FORREST (V.O.)	1	speech	regular	AND	Es gab nur Mama und mich und wir hatten eine Menge leere Zimmer.	
406.920	2.480	FORREST (V.O.)	1	speech	regular	HS;NS	Deswegen hatte Mama beschlossen, diese Zimmer zu vermieten.	
409.600	2.000	FORREST (V.O.)	1	speech	regular;addendum	none;relativ	Meistens an Leute, die auf der Durchreise waren.	
411.640	3.000	FORREST (V.O.)	1	speech	regular;addendum	none	Leute aus Moville, Montgomery und solchen Städten.	
415.240	1.440	FORREST (V.O.)	1	speech	regular;addendum	HS	Auf die Weise haben wir Geld verdient.	
416.640	1.240	ERZAEHLER	1	speech	regular	HS	Sie steuern aufs Haus zu.	
418.000	2.000	FORREST (V.O.)	1	speech	regular	HS	Mama war eine richtig schlaue Lady.	
420.560	1.760	MRS. GUMP	1	speech	commanding	imperative;NS	Denk immer an das, was ich dir gesagt habe!	
422.360	0.360	MRS. GUMP		speech	regular	address	Forrest!	
422.960	1.840	MRS. GUMP	1	speech	regular	HS	Du bist nicht anders als die anderen.	
425.080	1.760	ERZAEHLER	1	speech	regular	HS	Vor der breiten Veranda bleiben sie stehen.	
427.680	1.920	MRS. GUMP	1	speech	asking	question;NS;address	Hast du gehört, was ich gesagt habe, Forrest?	
430.160	2.040	MRS. GUMP	1	speech	regular	HS	Du bist genau so wie alle anderen Menschen auch.	
432.520	1.520	MRS. GUMP	1	speech	regular	HS	Du bist nicht anders als die anderen.	
434.080	0.520	ERZAEHLER	1	speech	regular	none	Ein Büro	
434.640	0.920	HANCOCK	1	speech	regular	HS	Ihr Sohn ist...	
436.480	0.640	HANCOCK	1	speech	regular	none	...anders.	
437.320	0.960	HANCOCK	1	speech	regular	address	Misses Gump	
438.680	2.600	HANCOCK	1	speech	regular	HS	Sein Intelligenzquotient beträgt 75.	
441.560	0.360	MRS. GUMP	1	speech	regular	none	Nun ja	
441.960	1.520	MRS. GUMP	1	speech	regular	HS	Kein Mensch ist wie der andere.	
443.840	0.800	MRS. GUMP	1	speech	regular	address	Mr. Hancock	
445.040	0.200	HANCOCK	1	non	regular	none	huuuh	
445.560	2.160	ERZAEHLER	1	speech	regular	HS	Forrest sitzt neben der offenen Tür im Schulflur.	
448.080	2.440	FORREST (V.O.)	1	speech	regular	HS;NS	Sie wollte, dass ich die beste Schulbildung bekomme.	
450.600	3.160	FORREST (V.O.)	1	speech	regular;addendum	HS	Deshalb ging sie mit mir zur Greenbow County Central School.	
454.040	2.360	FORREST (V.O.)	1	speech	regular;addendum	HS	Da lernte ich sogar den Schulleiter kennen und alle.	
456.880	1.760	HANCOCK	1	speech	regular	HS	Ich möchte Ihnen mal etwas zeigen.	
458.720	0.680	HANCOCK	1	speech	regular	address	Misses Gump	
459.880	0.960	HANCOCK	1	speech	regular	incomplete	Also das hier...	
461.280	0.760	HANCOCK	1	speech	regular	completion	...ist normal.	
462.800	1.400	HANCOCK	1	speech	regular;addendum	HS	Und Forrest ist...	
464.800	1.680	HANCOCK	1	speech	regular	none	...genau hier.	
466.680	4.720	HANCOCK	1	speech	regular	HS	Vorschrift für den Besuch eine staatlichen Schule ist ein Intelligenzquotient von mindestens 80.	
471.480	0.760	HANCOCK	1	speech	regular	address	Misses Gump	
473.080	2.240	HANCOCK	1	speech	regular	HS	Ihr Sohn muss auf eine Sonderschule gehen.	
475.480	1.640	HANCOCK	1	speech	regular;addendum	HS	Da wird ers auf jedenfall schaffen.	
478.760	1.920	MRS. GUMP	1	speech	asking	question	Was hat normal schon zu bedeuten?	
480.800	0.160	MRS. GUMP	1	non	regular	none	hach	
481.000	1.080	MRS. GUMP	1	speech	regular	incomplete	Er mag ja vielleicht...	
482.120	0.200	MRS. GUMP	1	non	regular	none	äh	
482.760	1.280	MRS. GUMP	1	speech	regular	completion	...ein bisschen langsam sein.	
485.240	3.760	MRS. GUMP	1	speech	regular;addendum	HS;NS	Aber ich verlange, dass mein Sohn Forrest die selben Chancen erhält wie andere auch.	
489.040	3.840	MRS. GUMP	1	speech	regular	HS;NS;NS2	Er soll nicht auf eine Sonderschule gehen, nur um zu lernen, wie man Flaschen sortiert.	
493.440	2.440	MRS. GUMP	1	speech	regular	HS	Es geht um fünf winzige Punkte unter dem Durchschnitt.	
498.000	1.920	MRS. GUMP	1	speech	asking	question	Da wird sich doch eine Möglichkeit finden lassen?	
501.880	2.400	HANCOCK	1	speech	regular	HS	Wir haben ein progressives Schulsystem.	
505.000	2.160	HANCOCK	1	speech	regular	HS;NS	Wir möchten nicht, dass jemand zurück bleibt.	
508.600	1.160	HANCOCK	1	speech	asking	question	Gibt's einen Mister Gump?	
510.280	1.120	HANCOCK	1	speech	regular	address	Misses Gump	
512.080	1.720	ERZAEHLER	1	speech	regular	HS	Hancock mustert sie lüstern.	
515.040	1.320	MRS. GUMP	1	speech	regular	HS	Er macht Ferien.	
516.960	9.640	HANCOCK	1	non	regular	none	eeeheeeheeeheeeheeheeeeeeeeh	
517.000	0.400	ERZAEHLER	1	speech	regular	none	Abends	
517.880	1.280	HANCOCK	1	non	regular	none	eeheeheeheeh	
519.200	4.800	ERZAEHLER	1	speech	regular	AND	Forrest sitzt vor dem Haus auf einer Schaukel und blickt zu Boden. 	
522.640	1.240	ERZAEHLER	1	speech	regular	HS	Im ersten Stock brennt Licht.	
527.880	2.360	ERZAEHLER	1	speech	regular	HS	Verschwitzt kommt Hancock aus dem Haus auf die Veranda.	
530.360	2.440	ERZAEHLER	1	speech	regular	HS	Dort sitzt Forrest teilnahmslos in einem Schaukelstuhl.	
531.600	0.560	HANCOCK	1	non	regular	none	Pfaaaah	#movie only#
533.440	2.480	HANCOCK	1	speech	regular	HS	Deiner Mutter liegt wirklich ne Menge an deiner Einschulung.	
535.960	0.320	HANCOCK	1	speech	regular	address	Junge	
536.840	0.600	HANCOCK	1	non	regular	none	mh mh mhhh	
537.520	3.160	ERZAEHLER	1	speech	regular	AND	Mit einem Taschentuch wischt er sich über den Hals und sieht zu Forrest.	
541.040	1.040	ERZAEHLER	1	speech	regular	HS	Der starrt ins Leere.	
542.440	1.640	HANCOCK	1	speech	asking	question	Du redest nicht viel, was?	
545.240	1.240	ERZAEHLER	1	speech	regular	HS	Forrest schaut Hancock an.	
548.080	7.400	FORREST	1	non	regular	none	eeheeheeheeh	
550.520	1.240	ERZAEHLER	1	speech	regular	HS	Hancock marschiert davon.	
552.400	2.880	ERZAEHLER	1	speech	regular	HS	Die Mutter sitzt mit dem Buch 'Curious George' auf dem Bett von Forrest.	
555.800	1.880	MRS. GUMP	1	speech	regular	HS	Am Ende musste er es versuchen.	
558.040	1.520	MRS. GUMP	1	speech	regular	HS;incomplete	Es sah so leicht aus, aber...	
560.960	0.520	MRS. GUMP	1	non	regular	none	oh	
561.520	0.920	MRS. GUMP	1	speech	regular	question	Wie ging es weiter?	
563.080	1.040	MRS. GUMP	1	speech	regular	incomplete	Zuerst kam...	
563.280	0.600	FORREST (child)	1	speech	regular	address	Mama	
564.000	1.640	FORREST (child)	1	speech	asking	question	Was bedeutet das, Ferien?	
566.640	0.840	MRS. GUMP	1	speech	asking	none	Ferien?	
567.880	1.160	FORREST (child)	1	speech	regular	HS	Wo Daddy hin ist.	
571.640	2.040	MRS. GUMP	1	speech	regular	NS;HS	Wenn du in Ferien gehst, gehst du irgendwo hin…	
576.600	1.120	MRS. GUMP	1	speech	regular;addendum	HS	..und kommst nie wieder zurück.	
578.000	2.080	ERZAEHLER	1	speech	regular	HS	Er blickt gedankenverloren zur Zimmerdecke.	
580.400	37.320	OST	0	song	instrumental	instrumental		
583.040	0.160	FORREST (V.O.)	1	non	regular	none	Na	
583.400	2.960	FORREST (V.O.)	1	speech	regular	HS;NS	Jedenfalls, so wies aussah, standen Mama und ich allein da.	
586.960	0.600	ERZAEHLER	1	speech	regular	HS	Es ist Tag.	
587.960	1.280	FORREST (V.O.)	1	speech	regular;addendum	HS	Aber das machte uns nichts.	
589.680	1.480	FORREST (V.O.)	1	speech	regular	HS	Unser Haus war nie leer.	
591.760	2.120	FORREST (V.O.)	1	speech	regular	HS;relativ	Es gab immer Leute, die kamen und gingen.	
591.280	2.120	MRS. GUMP	0	non	regular	none	hahahahahahahaha	
594.000	0.680	MRS. GUMP	1	speech	exclamation	none	Abendessen	
595.200	1.000	MRS. GUMP	1	speech	exclamation	HS	Es gibt Abendessen.	
596.440	2.000	MAN WITH CANE	0	speech	exclamation	HS	Meine Güte, das sieht aber lecker aus.	
596.760	0.440	MRS. GUMP	1	speech	regular	address	Forrest	
598.480	1.920	MRS. GUMP	0	speech	regular	address;imperative;NS	Herrschaften, kommen sie zum Essen, bevor die Fliegen alles...	
598.640	4.800	FORREST (V.O.)	1	speech	regular	HS;NS	Manchmal hatte wir so viele Leute bei uns wohnen, dass alle Zimmer mit Reisenden belegt waren.	
603.560	0.920	FORREST (V.O.)	1	speech	regular	imperative	Überlegen Sie mal!	
604.760	2.040	FORREST (V.O.)	1	speech	regular	HS;HS	Das waren Leute, die lebten aus dem Koffer.	
605.400	6.880	MRS. GUMP	0	speech	regular	###	Fangen sie ruhig schon an, Guten Apptetit.	
607.360	3.360	FORREST (V.O.)	1	speech	regular	none	Aus Reisekoffern, Hutkoffern, Musterkoffern	
608.920	0.400	MRS. GUMP	0	speech	asking	question	Forrest	
610.200	0.640	MRS. GUMP	0	speech	exclamation	none	Forrest Gump	
610.880	1.320	MRS. GUMP	1	speech	regular	imperative;HS	Komm runter! Es gibt Abendessen.	
612.560	0.440	MRS. GUMP	1	speech	regular	address	Forrest	
613.520	0.600	FORREST (V.O.)	1	speech	regular	incomplete	Einmal…	
614.560	1.760	FORREST (V.O.)	1	speech	regular	completion	...da wohnte ein junger Mann bei uns.	
616.160	0.520	MRS. GUMP	1	speech	regular	address	Forrest	
616.720	2.240	FORREST (V.O.)	1	speech	regular	HS	Der hatte einen Gitarrenkoffer.	
619.120	13.640	ELVIS PRESLEY	0	song	regular	foreign		
623.680	6.320	ELVIS PRESLEY	0	singing	regular	foreign	Well you never caught a rabbit and you ain't no friend of mine.	
619.800	2.800	ERZAEHLER	1	speech	regular	HS	Missis Gump geht neugierig zu einer geschlossenen Zimmertür.	
624.280	3.880	ERZAEHLER	1	speech	regular	AND	Forrest schwingt mit gebeugten Knien die Hüften und hält sich an einem Besen fest.	
628.320	1.080	ERZAEHLER	1	speech	regular	HS	Der Gitarrist hat eine Tolle.	
632.640	0.640	MRS. GUMP	1	speech	regular	address	Forrest	
633.840	2.360	MRS. GUMP	1	speech	regular	HS;NS	Ich hab dir doch gesagt, Du sollst den netten, jungen Mann in Ruhe lassen.	indirekte Rede
636.680	3.320	ELVIS PRESLEY	1	speech	regular	complex	Oh, nein; ist schon ok, Ma'am; ich hab ihm grad nur ein paar Griffe auf der Gitarre gezeigt.	
640.040	0.320	MRS. GUMP	1	non	regular	none	nach	
640.800	0.600	MRS. GUMP	1	speech	regular	incomplete	Naja aber...	
641.800	1.440	MRS. GUMP	1	speech	regular	completion;HS;NS	...Abendessen ist fertig, falls Sie hungrig sind.	
643.760	1.040	ELVIS PRESLEY	1	speech	regular	HS	Oh, das hört sich gut an.	
644.840	0.520	ELVIS PRESLEY	1	speech	regular	address	Danke, Ma'am	
645.600	0.440	ERZAEHLER	1	speech	regular	HS	Sie geht.	
647.280	2.640	ELVIS PRESLEY	1	speech	commanding	address;imperative	Ey, Mann. Mach mir doch den verrückten Tanz von vorhin nochmal vor!	
650.720	0.920	ELVIS PRESLEY	1	speech	commanding;addendum	none	Aber ein bisschen langsamer.	
652.560	51.560	ELVIS PRESLEY	0	song	regular	foreign	###	
654.640	1.560	FORREST (V.O.)	1	speech	regular	HS	Ich mochte die Gitarre.	
657.400	1.280	FORREST (V.O.)	1	speech	regular	HS	Sie klang gut.	
660.360	0.840	FORREST (V.O.)	1	speech	regular	HS	Dann fing ich an,...	
661.960	1.560	FORREST (V.O.)	1	speech	regular;addendum	NS	...mich nach der Musik zu bewegen.	
664.240	1.640	FORREST (V.O.)	1	speech	regular	HS	Ich wackelte mit den Hüften.	
661.680	0.000	ELVIS PRESLEY	1	singing	regular	###	###lyrics###	
668.520	4.320	FORREST (V.O.)	1	speech	regular	HS	Eines Abend kam ich mit Mama an Bensons Möbel und Haushaltsladen vorbei.	
672.960	1.760	FORREST (V.O.)	1	speech	exclamation	imperative	Und jetzt stellen sie sich mal vor...	
675.680	1.360	ERZAEHLER	1	speech	regular	none	Im Fernsehen Elvis Presley	
679.000	3.320	CROWD IN TV	0	non	regular	none	cheering	##maessig gutes timing###
685.800	0.000	ELVIS PRESLEY	1	singing	regular	foreign	###lyrics###	
683.920	1.040	ERZAEHLER	1	speech	regular	HS	Er tanzt wie Forrest.	
685.160	1.720	ERZAEHLER	1	speech	regular;addendum	HS	Dabei schwingt er lasziv die Hüften.	
687.640	1.520	MRS. GUMP	1	speech	regular	HS	Das ist nichts für kleine Kinder.	
690.080	3.480	ERZAEHLER	1	speech	regular	HS	Sie geht.	
690.720	2.200	ERZAEHLER	1	speech	regular	HS	Forrest sieht weiter fasziniert zu Elvis.	
693.200	4.200	FORREST (V.O.)	1	speech	regular	complex	Ein paar Jahre später, da hatte der gutaussehende junge Mann, den sie alle den 'King' nannten...	
697.680	4.480	FORREST (V.O.)	1	speech	regular;addendum	complex	...naja, wahrscheinlich hat er zuviele Songs gesungen, der starb dann an einem Herzanfall oder so.	
702.400	0.840	ERZAEHLER	1	speech	regular	none	An der Haltestelle	
703.400	2.000	FORREST	1	speech	regular	HS;NS	Muss ganz schön schwer sein, ein King zu sein.	###NS?###
706.320	2.000	ERZAEHLER	1	speech	regular	HS	Die Krankenschwester sieht wieder in ihre Zeitschrift.	
679.400	33.280	FORREST	1	speech	regular	HS;NS	Ist doch komisch, dass man sich an manche Dinge erinnert und an manche nicht.	
712.920	1.920	MRS. GUMP	1	speech	asking	HS;question	Und du gibst dir wirklich Mühe, nicht wahr, Forrest?	
714.880	0.440	MRS. GUMP	1	speech	asking	address	Und du gibst dir wirklich Mühe, nicht wahr, Forrest?	
715.400	0.680	FORREST (child)	1	speech	regular	HS	Ja, mach ich.	
716.160	0.400	FORREST (child)	1	speech	regular	address	Mama	
716.960	1.520	ERZAEHLER	1	speech	regular	HS	An einer Straße hält ein Schulbus.	
